0.125,1.62156,3.20726,0.723389,0.798055,2.2811,3.47735,0.124675,-0.992198,0.992198,0.124675
0.13,1.62515,3.21127,0.745817,0.800965,2.28786,3.48344,0.129634,-0.991562,0.991562,0.129634
0.13,1.62517,3.21126,0.744971,0.801105,2.28834,3.48332,0.129634,-0.991562,0.991562,0.129634
0.135,1.6289,3.21526,0.7689,0.799804,2.29297,3.48723,0.13459,-0.990901,0.990901,0.13459
0.135,1.62902,3.21526,0.764249,0.802712,2.29572,3.48821,0.13459,-0.990901,0.990901,0.13459
0.14,1.63281,3.21929,0.785485,0.804111,2.30201,3.49345,0.139543,-0.990216,0.990216,0.139543
0.14,1.63283,3.21928,0.784727,0.804243,2.30243,3.49335,0.139543,-0.990216,0.990216,0.139543
0.145,1.63676,3.2233,0.807353,0.802272,2.30671,3.49688,0.144492,-0.989506,0.989506,0.144492
0.145,1.63687,3.22329,0.803058,0.804885,2.30926,3.49772,0.144492,-0.989506,0.989506,0.144492
0.15,1.64086,3.22732,0.823151,0.805327,2.3151,3.50239,0.149438,-0.988771,0.988771,0.149438
0.15,1.64088,3.22732,0.822471,0.805449,2.31548,3.5023,0.149438,-0.988771,0.988771,0.149438
0.155,1.64499,3.23134,0.84385,0.803148,2.31941,3.50561,0.15438,-0.988012,0.988012,0.15438
0.155,1.6451,3.23133,0.839881,0.805534,2.32178,3.50635,0.15438,-0.988012,0.988012,0.15438
0.16,1.64928,3.23537,0.85888,0.805436,2.32718,3.51066,0.159318,-0.987227,0.987227,0.159318
0.16,1.64929,3.23536,0.85827,0.805546,2.32753,3.51059,0.159318,-0.987227,0.987227,0.159318
0.165,1.65359,3.23939,0.878454,0.80316,2.33113,3.51379,0.164252,-0.986418,0.986418,0.164252
0.165,1.65369,3.23938,0.874788,0.805369,2.33333,3.51446,0.164252,-0.986418,0.986418,0.164252
0.17,1.65804,3.24342,0.89274,0.805037,2.33832,3.51859,0.169182,-0.985585,0.985585,0.169182
0.17,1.65806,3.24341,0.892191,0.805132,2.33863,3.51852,0.169182,-0.985585,0.985585,0.169182
0.175,1.66252,3.24743,0.911236,0.802829,2.34192,3.5217,0.174108,-0.984727,0.984727,0.174108
0.175,1.66261,3.24742,0.907847,0.804899,2.34396,3.52233,0.174108,-0.984727,0.984727,0.174108
0.18,1.66714,3.25146,0.9248,0.804542,2.34855,3.52638,0.17903,-0.983844,0.983844,0.17903
0.18,1.66715,3.25145,0.924306,0.804624,2.34884,3.52631,0.17903,-0.983844,0.983844,0.17903
0.185,1.67177,3.25547,0.942264,0.802511,2.35183,3.52952,0.183947,-0.982936,0.982936,0.183947
0.185,1.67186,3.25546,0.939133,0.804471,2.35372,3.53013,0.183947,-0.982936,0.982936,0.183947
0.19,1.67654,3.2595,0.955132,0.804227,2.35793,3.53418,0.188859,-0.982004,0.982004,0.188859
0.19,1.67655,3.25949,0.954687,0.804294,2.35819,3.53412,0.188859,-0.982004,0.982004,0.188859
0.195,1.68133,3.26351,0.971612,0.802436,2.3609,3.53741,0.193767,-0.981048,0.981048,0.193767
0.195,1.68141,3.2635,0.968717,0.804304,2.36266,3.538,0.193767,-0.981048,0.981048,0.193767
0.2,1.68624,3.26753,0.983809,0.804257,2.36651,3.54211,0.198669,-0.980067,0.980067,0.198669
0.2,1.68625,3.26753,0.983407,0.804311,2.36675,3.54205,0.198669,-0.980067,0.980067,0.198669
0.205,1.69117,3.27155,0.99935,0.802739,2.36919,3.54543,0.203567,-0.979061,0.979061,0.203567
0.205,1.69125,3.27154,0.996675,0.80453,2.37082,3.54602,0.203567,-0.979061,0.979061,0.203567
0.21,1.69622,3.27557,1.0109,0.804725,2.37433,3.55021,0.20846,-0.978031,0.978031,0.20846
